City,Date,Max Temp (°C),Min Temp (°C),Precipitation (mm)
Columbia,2014-02-27,18.2,10.0,30.4
Columbia,2014-02-28,31.0,11.0,8.9
Columbia,2014-03-04,31.0,22.4,0.7
Columbia,2014-12-31,31.1,23.8,1.0
Columbia,2015-02-28,32.0,24.0,5.4
Columbia,2015-05-23,29.4,22.0,18.9
Columbia,2017-05-28,30.0,22.0,5.5
Columbia,2017-10-14,31.0,22.0,2.4
Columbia,2017-11-04,26.2,22.0,6.9
Columbus,2014-03-11,19.5,8.5,0.0
Columbus,2014-06-04,22.3,15.6,18.897
Columbus,2014-08-25,28.9,20.9,0.0
Columbus,2014-12-17,3.2,-2.9,0.329
Columbus,2015-02-08,13.0,5.0,2.311
Columbus,2015-10-03,10.9,7.2,2.826
Columbus,2015-12-09,10.9,3.6,0.0
Columbus,2015-12-14,16.4,9.3,3.283
Columbus,2016-03-14,21.4,13.4,7.08
Columbus,2016-04-19,21.5,12.3,0.0
Columbus,2016-07-25,32.6,24.5,0.0
Columbus,2016-08-22,24.6,13.3,0.0
Columbus,2016-09-17,27.0,21.4,13.46
Columbus,2016-09-24,26.0,18.3,0.0
Columbus,2016-09-29,19.1,13.3,7.848
Columbus,2016-11-20,1.7,0.0,0.0
Columbus,2017-02-02,-0.1,-6.4,0.0
Columbus,2017-03-08,14.8,3.9,0.0
Columbus,2017-03-20,7.6,-0.7,6.055
Columbus,2017-05-08,14.8,1.2,0.0
Columbus,2017-06-12,32.6,20.2,0.0
Columbus,2017-07-03,30.7,17.5,0.011
Columbus,2017-11-26,7.6,-2.3,0.0
Columbus,2017-12-05,12.6,-0.4,11.394
Columbus,2017-12-30,-7.7,-16.1,0.45
Concord,2014-01-01,16.8,0.8,0.0
Concord,2014-01-02,17.9,1.0,0.0
Concord,2014-01-03,18.1,2.0,0.0
Concord,2014-01-04,19.1,1.8,0.0
Concord,2014-01-05,18.1,2.1,0.0
Concord,2014-01-06,15.0,1.8,0.0
Concord,2014-01-07,17.0,3.9,0.0
Concord,2014-01-08,14.1,8.9,0.0
Concord,2014-01-09,16.8,8.9,0.001
Concord,2014-01-10,16.0,5.0,0.0
Concord,2014-01-11,14.1,5.8,0.0
Concord,2014-01-12,16.0,2.9,0.003
Concord,2014-01-13,17.1,3.0,0.0
Concord,2014-01-14,19.1,1.9,0.0
Concord,2014-01-15,21.1,3.0,0.0
Concord,2014-01-16,21.0,1.1,0.0
